publication_commit,original_commit,subject
c8156456183c6c2d5862aecc48ff37cd4e049855,12ad4cbe417d9935b1e7e55600214d14ba0d6360,Add server2 fixed10k W0 evaluation adapter with exact SH4 reuse
0954208705c7cc28bd1610ad16f6c3953aea9904,a036641bf0df70ce3cd6388d0587486183ba34bf,report alpha-jv secondary priority and initial gate receipts by head-server2
5856b20631bec1e8c5054a70cd93ba355a535984,f3457064e817c1730b3699479dac2e281cb35627,Add shared full-space functional PCG and joint elastic kernels for A/B
fc9413a281b0263d03514a278a9606cf949aa0ad,a1fc35fc2e392b2afbdb0fb9de0e2164c1cd5cb5,Bind B finite corrections to fixed native geometry and frozen Current reference
3e3de1b02f337aee832136c7cfca0aac01692429,8e7e16450797cb4b11a5c06602af24a4b7571fe4,Implement FzCB dense Alpha HA0 backend
01c06309d3380c17813eb810db5027c345fcf4a4,5f8f8a54e0f80193a2be6302594dd18c73b49952,Add FzCB Official dense HA1 replay
e7cb31c08663021e4c6398f88e2e41ed0fb6d50b,30b7c31bdcd55b7f30315b43eb9d5246ea896428,Harden FzCB HA1 preflight receipt gate
36293dd774768bdb37b35a452d43ed899d5416c8,6b21a17e70d746a48c50d0c9e5c0f64c75d0df64,Adapt sealed Official trace hooks for current PyTorch
1205f36f91c2e0492a7b71438416b8b04d439f23,0ae42e079a77e50f1473e04b2fb348dd1bb1d81a,Record FzCB HA1 parity boundary evidence
7eef89cf2cfc960abea2b33d3985d381045fc69f,f4658c3f05d70299266c687f0df00e2c70294d25,Add FzCB HA1 numerical hold package builder
c7e5c9f480b83283dd217e875a52a98cbabe340b,d7699572d7172ffeb14bc3809e72a5b70cff19a2,feat(multilayer-b): bind sealed common fixture and initial runtime gate
470eecdb653e31ceef38c04f61ec7b13c1343685,3c0fd4f18189dac634db76f58b0e5e3b07f1ff8c,test(multilayer-b): bounded authorized FD refinement with exact teacher reuse
10e1dc038edb6e7ad39ee4b8534883801a9d4bf0,7f70af238aa88d3dea3ae86635ff99f09f2b9d87,Analyze finite approximate Middle B-OS endpoint on explicit user recall
fca97835e2f9ca70c10a19e1588e11d614bede66,47e3bd81bba5bc671780db126bd07323f856cfcb,Publish partial Middle B-OS facts with nonconverged PCG and missing scope explicit
a08ddebf3429b5a8c9bc88a6abbed2cad3e2d8fe,6f5e5456cd45131697fc0530c9d9989fc47e770e,Prepare recalled Middle B-BF4 with exact initial-gate reuse and missing observers
c96f571756e36e58c40f1e448d1e69810a0d853f,00417f7c2a5b384a50f1fbb13b9e43aaf4cc523b,Add same-B100 Official native-z diagnostics
3bf9d1310c0809c3ff0ba424e3f6515cfa306a8b,PUBLICATION_ONLY,Publish byte-exact historical SH2 factual packages and align launcher memory policy
