requirement,source,check,evidence,status,limit
공통 cold 시작,runtime.py:38–98; runner.py:29–35,COMMON_COLD_STATE/COLD_AND_LOCK/P_CONTEXT_RNG_FIXED,6 arm start W/M/P/context/RNG hash 동일; W0와 zeroM는 저장 runtime guard+공통 capsule,STORED_EVIDENCE_CONSISTENT,현재 model/W/M 실물 독립 재로드 없음
native 동일 연산,native.py:105–154; fitting.py:23–160,FROZEN_SOURCE_COMMIT/FIT_STATE_CONFINEMENT,"BLUE 원 AST fit/history 분리, L2=1/lr=.1/decay=.5/clamp=.75/KL=.0625/25loss·24Adam",SOURCE_CONFIRMED + STORED_EVIDENCE_CONSISTENT,"CPU55,200 target capture 검산은 모델 재실행 아님"
prefix local-z 및 cache,controller.py:258–326; runtime.py:193–234,NATIVE_PREFIX_EVENT_BINDING/CACHE_KEY_WAS_FITTED,fit input/output 실제 상태와 ledger cache key 결속; 같은 prefix의 layer fit만 재사용,STORED_EVIDENCE_CONSISTENT,전체 weight 미보존으로 fractional endpoint 독립 재구성 불가
gate0/1/중간 FP32,runtime.py:23–33; controller.py:258–326,ACTUAL_SUPPORT_FROM_WEIGHT_HASH,"0 skip, 1 exact native copy, 중간 FP32 U+a(V−U); L5–7 포함",SOURCE_CONFIRMED + STORED_EVIDENCE_CONSISTENT,CPU hash는 GPU off/on parity 대체 아님
E/H/B와 보호 ID,metrics.py:36–137; controller.py:342–366,ONLINE_REDUCTION/STRICT_PAIR_AGGREGATION/FEASIBILITY_EXACT_IDS,E token→native context→request; H canonical; B full-vocab W0 KL; exact strict/pair subset,STORED_EVIDENCE_CONSISTENT,평균 E 보호는 모든 요청 NLL·PS·NS 보호가 아님
global min/tie,controller.py:512–520; analysis/audit.py:reasons/choose,INDEPENDENT_SELECTOR,"전 실제 feasible pool Bmin+1e-6, ownN4→actual support→concat norm→gate lex→SHA;60/60 일치",STORED_EVIDENCE_CONSISTENT,국소 탐색 pool 안 선택이며 global optimum 아님
F48 고정 예외,controller.py:665–672,INDEPENDENT_SELECTOR,"(.75,.5) 10/10 raw commit; guard 탈락에도 ownN4로 교체하지 않음",STORED_EVIDENCE_CONSISTENT,F48 infeasible는 승인된 fixed 정책 관측이지 기술실패 아님
legacy COBYLA,controller.py:614–644; execution.lock dependencies,FROZEN_SOURCE_COMMIT + SEARCH_STOP ledger,SciPy1.15.3; u=1−a/u0=0/rhobeg.25/tol.01/catol1e-8/maxiter64; E/H·pair .05는 단위,SOURCE_CONFIRMED + STORED_EVIDENCE_CONSISTENT,tol은 loss 허용치 아님; budget stop 수렴 증거 아님
bounds/score 공유,controller.py:468–499,RAW_BOUNDS_GPU0/CACHE_KEY_WAS_FITTED,raw u bounds 먼저 검사; GPU0/dummy1/no clip; objective·constraint 동일 raw u 점수 공유,STORED_EVIDENCE_CONSISTENT,adaptive 호출 permutation invariance를 추가 요구하지 않음
phase budget/미완료,"controller.py:279–321,421–437",BUDGET_LIMITS/WHOLE_FIT_RESERVATION/ADAM_REFUND/INCOMPLETE_NOT_SCORED,search32+prune reserve8; score24+4; extraAdam9600; fit2400 reserve 후 actual 차감,STORED_EVIDENCE_CONSISTENT,pruning 전용 Adam reserve 없음; budget 미완료는 층 필요성 증거 아님
exact-zero pruning,controller.py:522–555,PRUNING ledger + pruning-summary.csv,"8→7→6→5 한 번씩, incumbent nonzero 추가층만, L4 pruning0, 글로벌 재선택",STORED_EVIDENCE_CONSISTENT,연속 a4=0 경계와 L4 pruning을 구분
Past64 received-event,runner.py:46–50; local_z policy.py:27–37,PAST64_RECEIVED_HASH_PRIORITY,"latest raw subject/relation, 현재 overwrite 제외, 고정 SHA priority, B1empty/후속64",STORED_EVIDENCE_CONSISTENT,성공 filtering0; all1000을 accepted-only로 바꾸지 않음
observer 분리,runner.py:57–96; runtime.py:172–173,POSTSEAL_CONTROLLER_QUIET/CANDIDATE_OBSERVER_SEAL/ONLINE_INPUT_SEPARATION,"선택·다음 state 결정 먼저 봉인, official P/N·Dev 이후; scope 밖 후보완성0",SOURCE_CONFIRMED + STORED_EVIDENCE_CONSISTENT,관측 함수 호출순서를 저장참조와 source로 확인; 모델 replay 없음
history/다음 entry,runtime.py:252–264; runner.py:99–117,HISTORY_ALL5_ONCE/HISTORY_LAYER_HASH/ENTRY_LINK,"60commit/300append/54인접link, selected endpoint에서 모든5층 whole100 key append1",STORED_EVIDENCE_CONSISTENT,zero gate·미사용층도 history 갱신; 기록 hash 검산과 M tensor 재구성 구분
실제 tensor 수준,runtime.py:224–232; artifacts.py,CPU_WEIGHTS_ONLY_SCHEMA_FINITE_CAPTURE_COUNTERS_PASS,552 native files target/anchor/radius/key/readout/capture finite 및 카운터 검산,CPU_STORED_TENSOR_PASS,W/M checkpoint0; exact crash-resume NOT_AVAILABLE; GPU continuation NOT_TESTED
