requirement,file,function,line,source_SHA256,evidence,verification_level,limit
B1 only / sequential fail closed,config.py,require_scope,17,c1a36832a025fa62df83cc6dc9356a97b0da18c1adfe68476e47bdf44ca4d790,execution-entry.json; two commits,SOURCE_CONFIRMED_AND_RUNTIME_SCOPE,not global optimality / not B2 continuation
"fresh native W0/M0 once, hparams fixed",model.py,native,75,f2d3fb0de802896754e403ec5589d678791e8abe49c9c555203f3c2dff819823,native/native-binding.json; terminal.native_actual_executions,SOURCE_AND_STORED_RECEIPT,not global optimality / not B2 continuation
"W0 raw argmax, configured EOS, 16 tokens",choice.py,raw_greedy,13,c09f07e60bc0780c5bdc79cd6e65c216a446482a74bd2921789a1801e0bdf104,capsule-manifest.json; technical/base-R512/generation-TF.json,ACTUAL_BOUNDED_PARITY_AND_FULL_TF_BINDING,not global optimality / not B2 continuation
all positions/full vocab; top8 diagnostic only,choice.py,scan,73,c09f07e60bc0780c5bdc79cd6e65c216a446482a74bd2921789a1801e0bdf104,controller/native-reference.json; round*/reference.json,STORED_COMPLETE_POSITION_COUNTS,not global optimality / not B2 continuation
two-row fresh all-token scalar gradient factors,choice.py,pair_factor,103,c09f07e60bc0780c5bdc79cd6e65c216a446482a74bd2921789a1801e0bdf104,technical/pair-*-AD.json; controller/round*/factors/rows.json,ACTUAL_REFERENCE4_AD_CHECK_PLUS_RUNTIME,not global optimality / not B2 continuation
"actual center raw gradient RHS, positive sum",factors.py,build,24,009ca1e8603c9529dbd988a3a3036374d8ac0b682b8d0c29d0bc74c9bfe6ef4d,round*/qp-problem.pt; factor row b/mu/raw_center_inner,CPU_FORMULA_REPLAY_AVAILABLE,not global optimality / not B2 continuation
"full Gram, no row subsampling",factors.py,gram,61,009ca1e8603c9529dbd988a3a3036374d8ac0b682b8d0c29d0bc74c9bfe6ef4d,technical/actual-factor-Gram.json; round*/qp-problem.pt,ACTUAL_REFERENCE4_GRAM_AND_FULL_LOCAL_CPU_AUDIT,not global optimality / not B2 continuation
"minimum-norm QP / full-bank GSS, no ridge",qp.py,solve,386,00cd07b2b8a18cef56d8abe1685fb2fe182ef3424ae83991a6cd9f283828d567,round*/qp-solution.json; ordering-audit.json,KKT_AND_SAME_LOCAL_PROBLEM_CPU_AUDIT,not global optimality / not B2 continuation
all512 exposed / retain old pairs / max2 rounds,controller.py,run,20,752b0bcbbdbff2fa7f1e9da4039e764a5c536e33d968d3aa58bb5202c9779580,controller/selection.json; round/factor receipts,STORED_COUNTERS_AND_SOURCE,not global optimality / not B2 continuation
FP32 from immutable WN; one current guard,checks.py,current_guard,26,6efb3735c3031d043f66b5c5c39f1a4cab16ab7edc7a7d16bd92324089ac431c,current-invariant.json or exact selected=native hash,ACTUAL_RECORDED_PATH_ONLY,not global optimality / not B2 continuation
"official P/N, Dev after both selection seals",runner.py,run,30,8a4f8698fcf98101dfcd91550e2605c334903050b35a3c91e3b628041fa2c028,endpoint-seals.json; arm/current.json observer receipt,SOURCE_AND_RUNTIME_NONMUTATION,not global optimality / not B2 continuation
wholebatch native history exactly once / atomic CP,transaction.py,commit,12,f6017d9b5be17842872f9efee1d6c2f657c8daca303b5e36717b2cb20b2f7b8f,arms/*/checkpoint.pt; commit.json; reload-forward.json,CPU_W_M_HASH_AND_RUNTIME_PHYSICAL_RELOAD,not global optimality / not B2 continuation
