arm,batch,correction_feasible,reasons,selection_reason
CAP1,5,0,C1:E_EXCEEDS_OWN_RAW_NO_ALLOWANCE; C05:E_EXCEEDS_OWN_RAW_NO_ALLOWANCE; C025:E_EXCEEDS_OWN_RAW_NO_ALLOWANCE,RAW_NATIVE_NO_UNAMBIGUOUS_FEASIBLE_IMPROVEMENT
CAP1,10,0,C1:E_EXCEEDS_OWN_RAW_NO_ALLOWANCE; C05:E_EXCEEDS_OWN_RAW_NO_ALLOWANCE; C025:E_EXCEEDS_OWN_RAW_NO_ALLOWANCE,RAW_NATIVE_NO_UNAMBIGUOUS_FEASIBLE_IMPROVEMENT
CAP10,2,0,C1:E_EXCEEDS_OWN_RAW_NO_ALLOWANCE; C05:E_EXCEEDS_OWN_RAW_NO_ALLOWANCE; C025:E_EXCEEDS_OWN_RAW_NO_ALLOWANCE,RAW_NATIVE_NO_UNAMBIGUOUS_FEASIBLE_IMPROVEMENT
CAP10,4,0,C1:E_EXCEEDS_OWN_RAW_NO_ALLOWANCE; C05:E_EXCEEDS_OWN_RAW_NO_ALLOWANCE; C025:E_EXCEEDS_OWN_RAW_NO_ALLOWANCE,RAW_NATIVE_NO_UNAMBIGUOUS_FEASIBLE_IMPROVEMENT
CAP10,5,0,C1:E_EXCEEDS_OWN_RAW_NO_ALLOWANCE; C05:E_EXCEEDS_OWN_RAW_NO_ALLOWANCE; C025:E_EXCEEDS_OWN_RAW_NO_ALLOWANCE,RAW_NATIVE_NO_UNAMBIGUOUS_FEASIBLE_IMPROVEMENT
CAP10,7,0,C1:E_EXCEEDS_OWN_RAW_NO_ALLOWANCE; C05:E_EXCEEDS_OWN_RAW_NO_ALLOWANCE; C025:E_EXCEEDS_OWN_RAW_NO_ALLOWANCE,RAW_NATIVE_NO_UNAMBIGUOUS_FEASIBLE_IMPROVEMENT
CAP10,8,0,C1:E_EXCEEDS_OWN_RAW_NO_ALLOWANCE; C05:E_EXCEEDS_OWN_RAW_NO_ALLOWANCE; C025:E_EXCEEDS_OWN_RAW_NO_ALLOWANCE,RAW_NATIVE_NO_UNAMBIGUOUS_FEASIBLE_IMPROVEMENT
CAP10,10,0,C1:E_EXCEEDS_OWN_RAW_NO_ALLOWANCE; C05:E_EXCEEDS_OWN_RAW_NO_ALLOWANCE; C025:E_EXCEEDS_OWN_RAW_NO_ALLOWANCE,RAW_NATIVE_NO_UNAMBIGUOUS_FEASIBLE_IMPROVEMENT
CAP100,1,0,C1:E_EXCEEDS_OWN_RAW_NO_ALLOWANCE; C05:E_EXCEEDS_OWN_RAW_NO_ALLOWANCE; C025:E_EXCEEDS_OWN_RAW_NO_ALLOWANCE,RAW_NATIVE_NO_UNAMBIGUOUS_FEASIBLE_IMPROVEMENT
CAP100,2,0,C1:E_EXCEEDS_OWN_RAW_NO_ALLOWANCE; C05:E_EXCEEDS_OWN_RAW_NO_ALLOWANCE; C025:E_EXCEEDS_OWN_RAW_NO_ALLOWANCE,RAW_NATIVE_NO_UNAMBIGUOUS_FEASIBLE_IMPROVEMENT
CAP100,3,0,C1:E_EXCEEDS_OWN_RAW_NO_ALLOWANCE; C05:E_EXCEEDS_OWN_RAW_NO_ALLOWANCE; C025:E_EXCEEDS_OWN_RAW_NO_ALLOWANCE,RAW_NATIVE_NO_UNAMBIGUOUS_FEASIBLE_IMPROVEMENT
CAP100,4,0,C1:E_EXCEEDS_OWN_RAW_NO_ALLOWANCE; C05:E_EXCEEDS_OWN_RAW_NO_ALLOWANCE; C025:E_EXCEEDS_OWN_RAW_NO_ALLOWANCE,RAW_NATIVE_NO_UNAMBIGUOUS_FEASIBLE_IMPROVEMENT
CAP100,5,0,C1:E_EXCEEDS_OWN_RAW_NO_ALLOWANCE; C05:E_EXCEEDS_OWN_RAW_NO_ALLOWANCE; C025:E_EXCEEDS_OWN_RAW_NO_ALLOWANCE,RAW_NATIVE_NO_UNAMBIGUOUS_FEASIBLE_IMPROVEMENT
CAP100,7,0,C1:E_EXCEEDS_OWN_RAW_NO_ALLOWANCE; C05:E_EXCEEDS_OWN_RAW_NO_ALLOWANCE; C025:E_EXCEEDS_OWN_RAW_NO_ALLOWANCE,RAW_NATIVE_NO_UNAMBIGUOUS_FEASIBLE_IMPROVEMENT
CAP100,8,0,C1:E_EXCEEDS_OWN_RAW_NO_ALLOWANCE; C05:E_EXCEEDS_OWN_RAW_NO_ALLOWANCE; C025:E_EXCEEDS_OWN_RAW_NO_ALLOWANCE,RAW_NATIVE_NO_UNAMBIGUOUS_FEASIBLE_IMPROVEMENT
