requirement,execution_commit,file,function_or_marker,line,source_sha256,evidence,status,verification_level,limitation
B1 only and no sequential,5f79085629b10b2bb8bdee88d017e18a46bb4c74,project/run_scripts/single_layer_mechanism_first/science.py,def batch(,68,9e96c763aeb38c5245a2a5ead28dcd34f8880bfe945b331de4bceb6e1e1ca0a3,terminal.json; execution.lock; B1-to-S3.json,PASS,SOURCE_AND_TERMINAL,No S3/S10 or B2 observation
Pinned model FP32 eager TF32off W0 zeroM,5f79085629b10b2bb8bdee88d017e18a46bb4c74,project/run_scripts/single_layer_mechanism_first/model.py,class Runtime(,21,3aa18eeff92b99eb7e2f05966fdeb07818a384fc329ada7dd6deeffbea480ece,execution.lock; runtime manifest; batch-entry; native-binding,PASS_BINDING,FROZEN_CONFIG_RUNTIME_RECEIPT,No independent model reload or whole-model parity
Fresh shared native100; correction extra z0,5f79085629b10b2bb8bdee88d017e18a46bb4c74,project/run_scripts/single_layer_mechanism_first/science.py,native=rt.native(,93,9e96c763aeb38c5245a2a5ead28dcd34f8880bfe945b331de4bceb6e1e1ca0a3,native-binding.json; batch-compute.json; selections,PASS,SOURCE_COUNTER_REQUEST_ORDER,Same B1 native shared; no separate matched timing run
L4 only physical weight path,5f79085629b10b2bb8bdee88d017e18a46bb4c74,project/run_scripts/single_layer_mechanism_first/native.py,class CapturedHookedFitter(,7,e13198a35e7ea5e4f0e02f2dfd16232ff5d7ad229b825e1cac7876983cbd6c66,native-binding; commit W identities,PASS_BINDING,SOURCE_AND_RUNTIME_GUARD,Full selected weight not persisted
Prefix cache invalidation per native z call,5f79085629b10b2bb8bdee88d017e18a46bb4c74,project/run_scripts/single_layer_mechanism_first/z_hook.py,def capture_prefix(,148,722a0c35d91e3733b1962f9d07c016436a609b3b5c0cdd391b6ac80ed8ecca8e,native-binding z_hook batches100,PASS_ACTUAL_BATCH1,SOURCE_AND_COUNTER,Batch16 not executed
Target full-vocab head and separate final KL hidden,5f79085629b10b2bb8bdee88d017e18a46bb4c74,project/run_scripts/single_layer_mechanism_first/z_hook.py,def native_losses(,208,722a0c35d91e3733b1962f9d07c016436a609b3b5c0cdd391b6ac80ed8ecca8e,prior zhook receipts; native-binding,WARN_NUMERICAL,SOURCE_AND_PRIOR_ACTUAL_LIMITED_PANEL,Hook gradient 1.341096e-4 exceeded original1e-4; user warning preserved
Native Adam clamp stop and frozen converged rows,5f79085629b10b2bb8bdee88d017e18a46bb4c74,project/run_scripts/single_layer_mechanism_first/z_hook.py,def freeze_and_clamp(,255,722a0c35d91e3733b1962f9d07c016436a609b3b5c0cdd391b6ac80ed8ecca8e,2500 loss;2400 Adam/clamp;100 capped requests,PASS_OBSERVED_CAP_BRANCH,SOURCE_COUNTER,Early stop and batch16 frozen-row behavior not exercised in B1
All valid old/new Current K_E and Q intersection,5f79085629b10b2bb8bdee88d017e18a46bb4c74,project/run_scripts/single_layer_mechanism_first/science.py,def allowed_space(,36,9e96c763aeb38c5245a2a5ead28dcd34f8880bfe945b331de4bceb6e1e1ca0a3,geometry.json; protected keys4596; acceptance-arithmetic.json,PASS_STORED_SCALARS,CPU_TENSOR_SCHEMA_AND_THRESHOLD_ARITHMETIC,No complete D or Q reconstruction; anchor per-sequence rows not retained
All R512 generated positions and full vocabulary,5f79085629b10b2bb8bdee88d017e18a46bb4c74,project/run_scripts/single_layer_mechanism_first/decision.py,class DecisionOracle:,245,a6404fc06e284dbe3d8da704d819d1e41f89b47d25239bf5a46b19b0750cbe72,reference-native.json; factors manifest; capsule-summary.json,PASS_NATIVE_DERIVATIVE,CPU_ID_CARDINALITY_AND_RUNTIME_COUNTER,Not evidence of every selected policy choice scan
GPU FP64 dense-gradient accumulation,5f79085629b10b2bb8bdee88d017e18a46bb4c74,project/run_scripts/single_layer_mechanism_first/decision.py,class FactorArchive:,100,a6404fc06e284dbe3d8da704d819d1e41f89b47d25239bf5a46b19b0750cbe72,reference-native work; factor archive,PASS_DECISION_COUNTER,SOURCE_AND_ACTUAL_BYTES,EN gradient final-transfer counter not stored; emptyPast zero-gradient transfer also occurred
One center and factor contraction reuse,5f79085629b10b2bb8bdee88d017e18a46bb4c74,project/run_scripts/single_layer_mechanism_first/science.py,def batch(,68,9e96c763aeb38c5245a2a5ead28dcd34f8880bfe945b331de4bceb6e1e1ca0a3,basis.json; jacobians.pt; factor inventory,PASS_BINDING,CPU_FACTOR_SCHEMA_AND_SOURCE,No fresh AD/FD in this review
Functional rank4 plus covariance rank1,5f79085629b10b2bb8bdee88d017e18a46bb4c74,project/run_scripts/single_layer_mechanism_first/basis.py,def append_covariance_direction(,203,2f44348eaaab037ffc5d7ef527e06cedb845f84bba1f9f7867c0490f36dfcdf9,basis residuals; selection details; J schemas,PASS,STORED_GRAM_SPAN_AND_SHAPE,B1 STEP=CUM alias; no cumulative advantage measured
