model,candidate,reference,metric,field,unit,n,mean,median,p90,max,better,equal,worse,favorable_direction,interpretation
llama3-8b-inst,JV-BASE,O_NATIVE,NS,nll_advantage,PAIRED_PROMPT,1000,0.22992500010447112,0.12752795219421387,1.0423371791839602,6.7194870710372925,394,0,606,lower,preference-direction descriptive delta; not a causal or safety criterion
llama3-8b-inst,JV-BASE,O_NATIVE,NS,strict_teacher_forced,PAIRED_PROMPT,1000,-0.003,0.0,0.0,1.0,15,967,18,higher,preference-direction descriptive delta; not a causal or safety criterion
llama3-8b-inst,JV-BASE,O_NATIVE,NS,success,PAIRED_PROMPT,1000,-0.01,0.0,0.0,1.0,10,970,20,higher,preference-direction descriptive delta; not a causal or safety criterion
llama3-8b-inst,JV-BASE,O_NATIVE,NS,target_new_nll,PAIRED_PROMPT,1000,-0.16429842910170556,-0.10663080215454102,0.5926767826080324,2.1836843490600586,404,0,596,higher,preference-direction descriptive delta; not a causal or safety criterion
llama3-8b-inst,JV-BASE,O_NATIVE,NS,target_true_nll,PAIRED_PROMPT,1000,0.06562657100276556,0.02059316635131836,0.591075611114502,4.076578617095947,439,0,561,lower,preference-direction descriptive delta; not a causal or safety criterion
llama3-8b-inst,JV-BASE,O_NATIVE,PS,nll_advantage,PAIRED_PROMPT,200,-1.4115021358044033,-1.003223218023777,0.5285979693755507,2.7627653032541275,44,0,156,higher,preference-direction descriptive delta; not a causal or safety criterion
llama3-8b-inst,JV-BASE,O_NATIVE,PS,strict_teacher_forced,PAIRED_PROMPT,200,-0.075,0.0,0.0,0.0,0,185,15,higher,preference-direction descriptive delta; not a causal or safety criterion
llama3-8b-inst,JV-BASE,O_NATIVE,PS,success,PAIRED_PROMPT,200,-0.055,0.0,0.0,0.0,0,189,11,higher,preference-direction descriptive delta; not a causal or safety criterion
llama3-8b-inst,JV-BASE,O_NATIVE,PS,target_new_nll,PAIRED_PROMPT,200,0.4683933965941105,0.08201740309596062,1.6766265049576758,6.72034764289856,46,0,154,lower,preference-direction descriptive delta; not a causal or safety criterion
llama3-8b-inst,JV-BASE,O_NATIVE,PS,target_true_nll,PAIRED_PROMPT,200,-0.9431087392102927,-0.6214866638183594,0.5926215171813964,2.3016629219055176,53,0,147,higher,preference-direction descriptive delta; not a causal or safety criterion
