requirement,formula,executed_source,file,function,line,file_sha256,artifacts,level,limitation
Cold W0 L4 native own trajectory,100targets/nativeRHSsolve1 eachbatch; no warm state,6d317bdb2660d7e9919bc3a9fb878564e9729e37,project/run_scripts/bg_tw_reference/ep_tw/runner.py,run,50,dfa9a6d0bbab8195a247069a0d5812aa62e2d44b891500bf2897cac7145e8c5e,entry/native-fit/10commit/9links,STORED_EVIDENCE_CONSISTENT,Other base parameters not reloaded in CPU review
Native fit/history split,Native source fit removes only final history loop; finalizer separately1,6d317bdb2660d7e9919bc3a9fb878564e9729e37,project/run_scripts/low_cost_write_donor_pilot/fitting.py,split_native_source,22,859ee2fcfc673344e72c3af8380768304a49fb4682726e31ef62d82b5d5c0db7,native-fit source AST receipt and counts,SOURCE_CONFIRMED,Not a new original-native model parity test
Actual Vp anchor and stopgradient,C=0 returns actual raw.clone; backward gW A.T,6d317bdb2660d7e9919bc3a9fb878564e9729e37,project/run_scripts/bg_tw_reference/ep_tw/model_adapter.py,_RawAnchoredWeight,150,9e4d440e9aae260191d2adcfcc631c9d418311f1c4a8a76b7df46c8e9bb7dba5,RAW_Vp stored hash bridge; gE/gD route hashes,SOURCE_CONFIRMED,FD/direct neural derivative verification SKIPPED_USER_DIRECTED
Fixed map,"A=solve(P(KK.T+M)+I,PK).T; q=1; no inverse/SPD assumption",6d317bdb2660d7e9919bc3a9fb878564e9729e37,project/run_scripts/bg_tw_reference/native_map.py,from_native_system,46,fd2f53e5a9cd8d93a34cc0cba89f24d5d271cb4d29a4d84cf45b9340a5f16914,"native-map A saved, P/context/history bindings",SOURCE_CONFIRMED,"10 map solves source-derived, distinct from10 native RHS solves; G/P not resaved perbatch"
Current loss mass,tokenmean/request then100request mean,6d317bdb2660d7e9919bc3a9fb878564e9729e37,project/run_scripts/bg_tw_reference/ep_tw/model_adapter.py,_current,373,9e4d440e9aae260191d2adcfcc631c9d418311f1c4a8a76b7df46c8e9bb7dba5,candidate-evaluation current rows/counts; independent E recompute,STORED_EVIDENCE_CONSISTENT,Native multicontext target loss is separate
Preservation loss mass,"KL(p0||pV),full128256 vocabulary,logits128:256,128positions,64docs mean",6d317bdb2660d7e9919bc3a9fb878564e9729e37,project/run_scripts/bg_tw_reference/ep_tw/model_adapter.py,_generic,408,9e4d440e9aae260191d2adcfcc631c9d418311f1c4a8a76b7df46c8e9bb7dba5,fixed teacher/role/source IDs/candidate D64 rows,STORED_EVIDENCE_CONSISTENT,Fixed S64 is controller not holdout; teacher selfKL skipped
Independent sweeps,gE then gD at same C0 leaf; 7+64 backward microbatches perbatch,6d317bdb2660d7e9919bc3a9fb878564e9729e37,project/run_scripts/bg_tw_reference/ep_tw/model_adapter.py,gradient_sweeps,484,9e4d440e9aae260191d2adcfcc631c9d418311f1c4a8a76b7df46c8e9bb7dba5,current70/S64640 backwards plus route tensors,STORED_EVIDENCE_CONSISTENT,Counts/finite do not prove derivative correctness
Halfspace projection,"d=-gD+min(q,0)/||gE||^2*gE; zero gE=>-gD",6d317bdb2660d7e9919bc3a9fb878564e9729e37,project/run_scripts/bg_tw_reference/ep_tw/policy.py,project_direction,143,56b28d7b1398aa71c23ac11bb5164216c5c921d80ed287940b48d03652a3797d,per-batch-mechanism q/coefficient/innerproducts/KKT,STORED_EVIDENCE_CONSISTENT,Projection active9/10; zero branch unexercised; CPU/GPU scalar roundoff recorded
Step ball trust ordering,"alpha=min(cap,.25||Vp-We||/(||dA||+eps)); ball then C-only trust",6d317bdb2660d7e9919bc3a9fb878564e9729e37,project/run_scripts/bg_tw_reference/ep_tw/policy.py,build_correction,191,56b28d7b1398aa71c23ac11bb5164216c5c921d80ed287940b48d03652a3797d,policy.json +C/radius/anchor CPU algebra,STORED_EVIDENCE_CONSISTENT,Intermediate temporary/pretrust tensors NOT_STORED; postprojection first-order sign not guaranteed
Independent candidate materialization,RAW=Vp; corrected=Vp+beta*(C@A),6d317bdb2660d7e9919bc3a9fb878564e9729e37,project/run_scripts/bg_tw_reference/ep_tw/policy.py,materialize_candidates,311,56b28d7b1398aa71c23ac11bb5164216c5c921d80ed287940b48d03652a3797d,40candidate hashes; selected checkpoint3-hash bridge; CPU reconstruction differences,STORED_EVIDENCE_CONSISTENT,CPU matmul re-materialization is not exact GPU replay
Finite E/strict screen and D selection,E<=Ep and Ap subset Ac; minD then RAW/norm/ID tie,6d317bdb2660d7e9919bc3a9fb878564e9729e37,project/run_scripts/bg_tw_reference/ep_tw/policy.py,choose_candidate,362,56b28d7b1398aa71c23ac11bb5164216c5c921d80ed287940b48d03652a3797d,40candidate-details and10 independent selector matches,STORED_EVIDENCE_CONSISTENT,No quality tolerance added; finite-step per-request NLL need not all decrease
Observer firewall,Only Current+S64 passed into selector; old/PN/Dev downstream observer,6d317bdb2660d7e9919bc3a9fb878564e9729e37,project/run_scripts/bg_tw_reference/ep_tw/runner.py,run,50,dfa9a6d0bbab8195a247069a0d5812aa62e2d44b891500bf2897cac7145e8c5e,source argument flow and saved controller_access=False,SOURCE_CONFIRMED,Dataflow audit not an independent GPU execution trace of each operation
History and atomic accepted ledger,inner0; selectedfinalizer1; accepted strict IDs only,6d317bdb2660d7e9919bc3a9fb878564e9729e37,project/run_scripts/bg_tw_reference/ep_tw/ledger.py,commit_batch,78,981fe0b15de08b9387004866d0a7e5bba698773c3b973cd8466e15832b58b127,10CP M/ledger and9next-entry links,STORED_EVIDENCE_CONSISTENT,Unaccepted override edge not exercised: all1000 accepted atwrite
State and save,W4/M4/context/RNG/ledger/next ordinal eachbatch,6d317bdb2660d7e9919bc3a9fb878564e9729e37,project/run_scripts/bg_tw_reference/ep_tw/runner.py,run,50,dfa9a6d0bbab8195a247069a0d5812aa62e2d44b891500bf2897cac7145e8c5e,10weights_only reloads/fullSHA/65references,STORED_EVIDENCE_CONSISTENT,Full model/GPUcontinuation NOT_TESTED
User-directed skip,Do not call technical callbacks or require repairpass,6d317bdb2660d7e9919bc3a9fb878564e9729e37,project/run_scripts/bg_tw_reference/ep_tw/gate_skip.py,diagnostic,21,3e4da025df2b3109e98238cf78d41b06105687738620125ae1b9db66c252a1eb,waiver/selfKL/episode receipts +actual INITIAL_EXECUTION marker,SKIPPED_USER_DIRECTED,numerical_validation=NOT_ESTABLISHED; not silent omission or PASS
