requirement,file,line,rule,evidence,status,limit
Cold/input/seed,model.py,53,W0; M4/M8=0; FP32/eager; TF32off; seed20260916,7 start+capsule+63links; same first1000 identity,SOURCE_CONFIRMED + STORED_EVIDENCE_CONSISTENT,Full pretrained tensor rehash/GPU reload not repeated
P mapping,model.py,84,physical4→asset0/local0; physical8→asset4/local0,P4 24a654cc…; P8 3a4c524e…; all state bindings,REUSED_IDENTITY + STORED_EVIDENCE_CONSISTENT,Large P payload prior fullSHA+current stable stat
LOCAL,engine.py,13,own N4 then fresh L8 for each a4; a8 variants share same fit,"saved native fits, target captures, cache/input states; B2–10 candidate CPU hashes",SOURCE_CONFIRMED + STORED_EVIDENCE_CONSISTENT,B1 all candidate materialization not independently reconstructed from W0
TERMINAL,model.py,26,fixed entry Z8; writer4/8 key; residual Z8−H8 at current state,50 saved R exactly equal Z8−H8 on CPU,SOURCE_CONFIRMED + CPU_TENSOR_EXACT,No new neural forward or directsolve replay
REFIT4,engine.py,33,.75 actual L4 partial then fresh same-layer fit,20 fits/2000targets; M4 final append10,SOURCE_CONFIRMED + STORED_EVIDENCE_CONSISTENT,Not I2/I4 carry; no warm entry
FP32 gate/all-token,policy.py,5,0/1 exactcopy; .5/.75 U+g(V−U); physical parameter.copy_,materialization CPU fixtures; saved endpoints/hash reconstruction,SOURCE_CONFIRMED + CPU_TENSOR_EXACT,FP32 delta alone not claimed exact replay
E/S_cur,model.py,189,new token mean→rewrite context mean→100request mean; canonical strict set separately,190 E means and strict sets independently reduced,SOURCE_CONFIRMED + STORED_EVIDENCE_CONSISTENT,Not RS/PS/NS and not every request non-worsening
H/S_past,model.py,223,Past64 canonical rewrite new-NLL and exact strict IDs,190 candidate Past means/sets; B1 empty,SOURCE_CONFIRMED + STORED_EVIDENCE_CONSISTENT,Past64 is not all old requests
D/teacher,model.py,103,fixed W0 full vocab KL p0||pW; positions128; S64 mean,teacher reused; technical W0 D=0; all190 D means,SOURCE_CONFIRMED + REUSED_GPU_EVIDENCE,Review performs no teacher/model recomputation
Selector,policy.py,37,E plateau+1e-4; strict subset; Past H+1e-4; D tie1e-6,30 dynamic selections/constraints/shadows independently identical,CPU_ARITHMETIC_CONFIRMED,Fixed4arms do not apply dynamic screen
Received Past,policy.py,26,latest raw fact event; current overwrite excluded; SHA priority≤64,70 Past lists independently exact; arm-invariant input IDs,CPU_ARITHMETIC_CONFIRMED,Not EP accepted-only ledger
Branch/cache/RNG,engine.py,13,episode-local source/state/context/layer-bound fits; reset batch-entry RNG,63 state links; input-state M/P/context/RNG; stored order test exact,SOURCE_CONFIRMED + STORED_EVIDENCE_CONSISTENT,No full backbone bit audit
Observer isolation,model.py,118,nonselected version/pointer/hooks/grad/mode guards; observe state equality,190 scores and 70completed commits; no failure artifact,RUNTIME_GUARD_EVIDENCE,Pointer/version guard is not independent full-parameter byte equality
Commit/history,runner.py,60,selected endpoint; inner0; one append per eligible layer,70commits;110 append receipts; TD/N4 choice still M8 append,SOURCE_CONFIRMED + STORED_EVIDENCE_CONSISTENT,Finalizer keys not saved: Gram append not independently rederived
Snapshots,runner.py,69,B1/B5/B10 W4/W8/M4/M8/context/RNG/received/next,21CP;84 selected tensors CPU finite/shape/hash,CPU_WEIGHTS_ONLY_CONFIRMED,Independent GPU off/on continuation NOT_TESTED
Evaluation/reuse,runner.py,51,actual selected W; B5/B10 full population and exact current subset,W5/10 cardinality; current/first500/last500 rows identical to full,CPU_IDENTITY_CONFIRMED,Other candidate R/P/N NOT_RECORDED
Technical preparation,technical.py,65,teacher/local/terminal/order/history bounded checks,48679 TECHNICAL_READY; same-process restoration; original targets replay disclosed,REUSED_ACTUAL_GPU_CHECKS,Not every future endpoint or independent restart parity
Cap1 admission,control.py,181,technical afterok then seven-arm array%1,held inspect ArrayTaskThrottle=1; actual max2 /19428sec overlap,DEVIATION,Cause/actor/change time NOT_RECORDED; no scheduler mutation in review
Nonfinite/errors,policy.py,39,"NaN/Inf technical error, not quality skip",190finite scores;70terminal commits; no failure.json,SOURCE_CONFIRMED + STORED_EVIDENCE_CONSISTENT,Not proof against unlogged external faults
